,vin,id,total_diff,stage_diff,wheels_diff,paint_diff,seats_diff
40,5YJ3E1EA6HF000342,RN109173820,1,0,0,1,0
41,5YJ3E1EA0JF040471,RN107210408,1,0,0,1,0
42,5YJ3E1EA7JF044484,RN107353288,1,0,0,1,0
43,5YJ3E1EA8JF034823,RN107894726,1,0,0,1,0
44,5YJ3E1EA1JF092742,RN109186933,1,0,0,1,0
45,5YJ3E1EB7JF089790,RN108178936,1,1,0,0,0
46,5YJ3E1EBXJF112378,RN107191097,1,1,0,0,0
47,5YJ3E1EB5JF073782,RN108939530,1,1,0,0,0
48,5YJ3E1EB1JF087436,RN108283774,1,0,0,1,0
49,5YJ3E1EB3JF093348,RN108424619,1,0,0,1,0
50,5YJ3E1EB8JF104751,RN107157186,1,1,0,0,0
51,5YJ3E1EB6JF069031,RN109165584,1,0,0,1,0
52,5YJ3E1EB6JF086900,RN108546882,1,0,0,1,0
53,5YJ3E1EBXJF111300,RN108264368,1,0,0,1,0
54,5YJ3E1EAXJF033463,RN107653593,1,0,0,1,0
55,5YJ3E1EA7JF037342,RN109028775,2,0,1,1,0
56,5YJ3E1EAXJF022557,RN107589337,1,0,0,1,0
57,5YJ3E1EB3JF068918,RN109172639,1,0,0,1,0
58,5YJ3E1EA7JF089280,RN107850709,1,0,0,1,0
59,5YJ3E1EA4JF015430,RN109015155,1,0,0,1,0
60,5YJ3E1EB4JF076977,RN109114145,1,0,0,1,0
61,5YJ3E1EA2JF032399,RN108730720,1,0,0,1,0
62,5YJ3E1EA0JF046173,RN108629727,1,1,0,0,0
63,5YJ3E1EA1JF034811,RN109136521,2,1,0,1,0
64,5YJ3E1EA0JF076028,RN107193209,2,1,0,1,0
65,5YJ3E1EB5JF087956,RN109162940,1,0,0,1,0
66,5YJ3E1EA4JF032762,RN108419907,1,0,0,1,0
67,5YJ3E1EA7JF032142,RN108367326,1,0,1,0,0
68,5YJ3E1EA7JF032223,RN109166356,1,0,1,0,0
69,5YJ3E1EA3JF004094,RN108608123,1,0,1,0,0
70,5YJ3E1EA7JF076626,RN107530853,1,0,0,1,0
71,5YJ3E1EA8HF001461,RN107401751,1,0,0,1,0
72,5YJ3E1EAXJF023550,RN107991129,1,0,0,1,0
73,5YJ3E1EAXJF012273,RN107587620,1,0,0,1,0
74,5YJ3E1EB1JF067316,RN109160644,1,0,0,1,0
75,5YJ3E1EB8JF077163,RN109165537,1,1,0,0,0
76,5YJ3E1EB0JF073205,RN109135809,2,1,0,1,0
77,5YJ3E1EB3JF069231,RN108531547,1,1,0,0,0
78,5YJ3E1EB6JF069711,RN109096569,2,1,1,0,0
79,5YJ3E1EA8JF040704,RN108235753,1,0,0,1,0
80,5YJ3E1EA3JF089517,RN107640945,1,0,0,1,0
81,5YJ3E1EA2JF031061,RN107326097,1,0,0,1,0
82,5YJ3E1EB8JF068236,RN107088012,1,0,0,1,0
83,5YJ3E1EB4JF074808,RN108887384,2,1,0,1,0
84,5YJ3E1EB9JF054166,RN108650498,1,0,0,1,0
85,5YJ3E1EA2JF048765,RN108510408,1,0,0,1,0
86,5YJ3E1EB7JF100612,RN108492383,2,0,0,1,1
87,5YJ3E1EB6JF055582,RN108578175,3,1,1,0,1
88,5YJ3E1EA2JF095262,RN107561244,1,0,0,1,0
89,5YJ3E1EA5JF030887,RN109027464,1,0,0,1,0
90,5YJ3E1EB7JF084301,RN109161420,3,1,1,1,0
91,5YJ3E1EA5JF076378,RN107892271,1,0,0,1,0
92,5YJ3E1EB1JF117288,RN108368488,1,0,0,1,0
93,5YJ3E1EB9JF068505,RN109171049,2,1,0,1,0
94,5YJ3E1EB5JF100432,RN108791967,4,1,1,1,1
95,5YJ3E1EB4JF100633,RN109157859,1,0,0,1,0
96,5YJ3E1EA5JF025897,RN107081532,1,0,0,1,0
97,5YJ3E1EA5JF052972,RN108313064,1,0,0,1,0
98,5YJ3E1EB9JF096268,RN109154274,1,0,0,0,1
99,5YJ3E1EB8JF100070,RN109042611,1,0,0,1,0
100,5YJ3E1EAXJF044087,RN108746788,1,0,0,1,0
101,5YJ3E1EA1JF042048,RN107519722,1,0,0,1,0
102,5YJ3E1EAXJF017519,RN108107867,1,0,0,1,0
103,5YJ3E1EA4HF001889,RN107683789,1,0,1,0,0
104,5YJ3E1EA2JF009849,RN108111278,1,0,0,1,0
105,5YJ3E1EA1JF033348,RN109171269,1,0,0,1,0
106,5YJ3E1EA6JF035890,RN108845163,1,0,0,1,0
107,5YJ3E1EB3JF100007,RN109044769,1,0,1,0,0
108,5YJ3E1EBXJF071333,RN108407575,1,0,0,1,0
109,5YJ3E1EB9JF099902,RN107488671,2,1,0,0,1
110,5YJ3E1EA4JF076325,RN107407095,1,0,0,1,0
111,5YJ3E1EA5JF038313,RN108227140,2,1,0,1,0
112,5YJ3E1EA2JF060848,RN108700336,1,0,0,1,0
113,5YJ3E1EA6JF006311,RN109133412,1,0,0,1,0
114,5YJ3E1EB5JF070624,RN107216685,1,0,0,1,0
115,5YJ3E1EB4JF099306,RN107098479,3,1,0,1,1
116,5YJ3E1EB3JF103599,RN109176931,1,1,0,0,0
117,5YJ3E1EA5JF010544,RN108830374,1,0,0,1,0
118,5YJ3E1EB3JF093271,RN109174939,1,0,0,1,0
119,5YJ3E1EB0JF089029,RN108324658,1,0,0,1,0
120,5YJ3E1EB3JF072954,RN108540721,2,1,1,0,0
121,5YJ3E1EB2JF073383,RN108258170,1,1,0,0,0
122,5YJ3E1EBXJF062955,RN108179871,2,1,0,1,0
123,5YJ3E1EB4JF074839,RN108843324,2,0,0,1,1
124,5YJ3E1EA8JF023286,RN107305145,1,0,0,1,0
125,5YJ3E1EA5JF029711,RN107055531,1,0,1,0,0
126,5YJ3E1EA3JF029870,RN108622921,1,0,0,1,0
127,5YJ3E1EA4JF030154,RN107335342,1,0,1,0,0
128,5YJ3E1EAXJF032071,RN107944755,1,0,0,1,0
129,5YJ3E1EA7JF019505,RN109179439,1,0,0,1,0
130,5YJ3E1EA0JF076448,RN107787288,1,0,0,1,0
131,5YJ3E1EA8JF016970,RN107599928,1,0,0,1,0
132,5YJ3E1EB0JF112441,RN109067812,1,0,0,1,0
133,5YJ3E1EB9JF068678,RN108098539,1,0,1,0,0
134,5YJ3E1EB8JF115944,RN108525042,1,0,0,1,0
135,5YJ3E1EBXJF091873,RN109117665,1,0,1,0,0
136,5YJ3E1EA2JF049879,RN107179128,1,0,0,1,0
137,5YJ3E1EB3JF091164,RN109096283,1,0,1,0,0
138,5YJ3E1EA7JF007063,RN107454962,1,0,1,0,0
139,5YJ3E1EAXJF044995,RN108238015,1,1,0,0,0
140,5YJ3E1EA0JF029616,RN107888054,1,0,0,1,0
141,5YJ3E1EA4JF031031,RN109145982,3,1,1,1,0
142,5YJ3E1EA5JF035136,RN108318722,1,0,0,1,0
143,5YJ3E1EB2JF093682,RN108557426,1,1,0,0,0
144,5YJ3E1EB0JF076945,RN107343910,2,1,1,0,0
145,5YJ3E1EB4JF068864,RN109165843,2,0,0,1,1
146,5YJ3E1EB1JF111671,RN107997209,2,1,1,0,0
147,5YJ3E1EB1JF084245,RN109162701,1,0,0,1,0
148,5YJ3E1EA3JF029660,RN108136225,1,0,0,1,0
149,5YJ3E1EA1JF028913,RN108797134,1,0,0,1,0
150,5YJ3E1EA2JF030024,RN107613675,1,0,0,1,0
151,5YJ3E1EA6JF095250,RN107811191,2,1,0,1,0
152,5YJ3E1EA9JF038024,RN107078228,2,1,1,0,0
153,5YJ3E1EA0JF037683,RN108996106,1,0,0,1,0
154,5YJ3E1EBXJF103441,RN107687853,1,0,0,1,0
155,5YJ3E1EB8JF077146,RN107831229,1,0,0,1,0
156,5YJ3E1EB0JF096290,RN109185745,1,0,0,1,0
157,5YJ3E1EA8JF020744,RN108916433,1,0,0,1,0
158,5YJ3E1EA0JF020611,RN107316535,1,0,0,1,0
159,5YJ3E1EA4JF013354,RN109039215,2,0,1,1,0
160,5YJ3E1EAXJF017473,RN108107798,1,0,0,1,0
161,5YJ3E1EB0JF088741,RN107297054,1,0,0,1,0
162,5YJ3E1EA6JF015560,RN107654936,2,1,0,1,0
163,5YJ3E1EB4JF094316,RN107488140,1,0,0,1,0
164,5YJ3E1EA7JF014241,RN107510159,1,0,0,1,0
165,5YJ3E1EB8JF070017,RN108801154,1,0,0,1,0
166,5YJ3E1EBXJF090527,RN108602802,1,0,0,1,0
167,5YJ3E1EA6JF041043,RN108254632,1,0,1,0,0
168,5YJ3E1EB5JF116709,RN108000596,2,1,0,1,0
169,5YJ3E1EB1JF116630,RN108994774,2,0,1,1,0
170,5YJ3E1EB1JF103621,RN108907690,3,1,1,1,0
171,5YJ3E1EB3JF090645,RN109137028,2,0,0,1,1
172,5YJ3E1EB8JF092549,RN107806966,2,1,0,1,0
173,5YJ3E1EA5JF006610,RN108933352,1,1,0,0,0
174,5YJ3E1EA3JF033465,RN109160405,1,1,0,0,0
175,5YJ3E1EA2JF005446,RN108639825,2,0,1,1,0
176,5YJ3E1EA9JF044390,RN109125601,2,1,1,0,0
177,5YJ3E1EA9JF046754,RN109176601,3,1,1,0,1
178,5YJ3E1EA3JF012338,RN107185720,3,1,0,1,1
179,5YJ3E1EA7JF032884,RN109027754,2,0,1,1,0
180,5YJ3E1EB1JF103263,RN108761064,2,0,1,1,0
181,5YJ3E1EB7JF070611,RN107102050,2,0,1,1,0
182,5YJ3E1EA1JF016194,RN107655241,1,0,0,1,0
183,5YJ3E1EA7JF017091,RN107218967,1,0,0,1,0
184,5YJ3E1EA9JF033213,RN107589680,1,0,0,1,0
185,5YJ3E1EB3JF064420,RN107775181,1,0,0,1,0
186,5YJ3E1EB0JF083067,RN109182129,1,0,0,0,1
187,5YJ3E1EB7JF109499,RN108150375,1,0,0,1,0
188,5YJ3E1EA0JF030327,RN107998604,1,0,0,1,0
189,5YJ3E1EA0JF024298,RN109147486,1,1,0,0,0
190,5YJ3E1EA6JF023608,RN109010232,2,1,0,1,0
191,5YJ3E1EA2JF061306,RN107647449,1,0,1,0,0
192,5YJ3E1EA4JF046662,RN109178968,3,1,1,1,0
193,5YJ3E1EB1JF095969,RN109176143,3,1,0,1,1
194,5YJ3E1EA8JF095717,RN109133452,2,1,0,1,0
195,5YJ3E1EB5JF109548,RN108968719,1,0,0,1,1
196,5YJ3E1EB5JF110314,RN109154869,1,0,0,1,0
197,5YJ3E1EB7JF107446,RN108000166,2,0,1,1,1
198,5YJ3E1EB4JF109493,RN108562989,1,0,0,1,0
199,5YJ3E1EA0JF034197,RN108510633,1,0,0,1,0
200,5YJ3E1EA5JF102351,RN108560410,1,0,0,1,0
201,5YJ3E1EB2JF110741,RN108662149,1,0,0,1,0
202,5YJ3E1EB0JF111157,RN108368849,1,0,0,1,0
203,5YJ3E1EA2JF032811,RN108708678,1,0,1,0,0
204,5YJ3E1EA9JF033373,RN108505295,1,1,0,0,0
205,5YJ3E1EB2JF066840,RN108393892,1,0,0,1,0
206,5YJ3E1EB0JF071307,RN108800235,1,0,0,1,0
207,5YJ3E1EB0JF065671,RN107138746,1,0,0,1,0
208,5YJ3E1EB7JF064310,RN109007790,1,0,0,1,0
209,5YJ3E1EB7JF070074,RN109169389,3,1,1,0,1
210,5YJ3E1EA5JF070386,RN108724238,2,1,0,1,0
211,5YJ3E1EA0JF041524,RN107755901,2,1,1,0,0
212,5YJ3E1EAXJF059934,RN108159886,1,0,0,1,0
213,5YJ3E1EB6JF089960,RN109154731,1,0,0,1,0
214,5YJ3E1EA9JF018825,RN109130697,1,0,0,1,0
215,5YJ3E1EA0JF013849,RN109004361,1,0,0,1,0
216,5YJ3E1EA7JF023991,RN109034368,1,0,0,1,0
217,5YJ3E1EB8JF054819,RN107327514,1,0,0,1,0
220,5YJ3E1EAXJF035004,RN109185084,1,0,0,1,0
221,5YJ3E1EAXJF025099,RN107921052,1,0,0,1,0
222,5YJ3E1EB1JF073603,RN108688164,1,0,0,1,0
223,5YJ3E1EB3JF071755,RN109185964,1,1,0,0,0
224,5YJ3E1EA1JF075780,RN108194194,1,0,0,1,0
225,5YJ3E1EA7JF004762,RN108389052,1,0,1,0,0
226,5YJ3E1EB9JF064101,RN107387622,1,1,0,0,0
227,5YJ3E1EAXJF075504,RN107576773,2,0,1,1,0
228,5YJ3E1EA0JF035576,RN107566665,1,0,1,0,0
229,5YJ3E1EA6JF024628,RN109147036,2,1,1,0,0
230,5YJ3E1EAXJF015724,RN109161834,2,1,0,1,0
231,5YJ3E1EA0JF053916,RN108250881,1,0,0,1,0
232,5YJ3E1EB4JF100762,RN108038974,2,1,1,0,0
233,5YJ3E1EA1JF005101,RN109184497,1,0,0,1,0
234,5YJ3E1EA5HF003148,RN108697709,1,0,0,1,0
